artist_name,track_name,genres,followers,popularity,duration,release_date,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_genre
Doja Cat,Woman,"['dance pop', 'pop']",24946222,86,172.626,2021-06-25,0.824,0.764,0.0854,0.0888,0.00294,0.117,0.881,107.998,pop
Doja Cat,Kiss Me More (feat. SZA),"['dance pop', 'pop']",24946222,81,208.666,2021-06-25,0.764,0.705,0.0284,0.259,8.92e-05,0.12,0.781,110.97,pop
Doja Cat,Vegas (From the Original Motion Picture Soundtrack ELVIS),"['dance pop', 'pop']",24946222,83,182.906,2022-05-06,0.801,0.601,0.255,0.0777,3.23e-05,0.145,0.74,159.969,pop
Doja Cat,You Right,"['dance pop', 'pop']",24946222,82,186.173,2021-06-25,0.828,0.621,0.0565,0.0164,0.00233,0.0845,0.436,128.986,pop
Doja Cat,Need to Know,"['dance pop', 'pop']",24946222,81,210.56,2021-06-25,0.664,0.609,0.0707,0.304,0.0,0.0926,0.194,130.041,pop
Doja Cat,Streets,"['dance pop', 'pop']",24946222,82,226.986,2019-11-07,0.749,0.463,0.0842,0.21,0.0382,0.338,0.189,90.035,pop
Doja Cat,In Your eyes (Remix),"['dance pop', 'pop']",24946222,40,236.88,2020-08-07,0.675,0.726,0.0329,0.00538,5.05e-05,0.0751,0.731,100.002,pop
Doja Cat,Boss Bitch,"['dance pop', 'pop']",24946222,79,134.239,2020-01-23,0.707,0.955,0.222,0.127,0.0,0.202,0.575,125.989,pop
Doja Cat,Get Into It (Yuh),"['dance pop', 'pop']",24946222,78,138.293,2021-06-25,0.912,0.655,0.162,0.315,3.39e-05,0.0894,0.793,91.942,pop
Chris Brown,Under The Influence,"['dance pop', 'r&b']",19030837,91,184.613,2019-10-04,0.733,0.69,0.0427,0.0635,1.18e-06,0.105,0.31,116.992,pop
Chris Brown,Superhero (Heroes & Villains) [with Future & Chris Brown],"['dance pop', 'r&b']",19030837,90,182.666,2022-12-02,0.526,0.606,0.259,0.152,2.36e-06,0.194,0.492,116.622,pop
Chris Brown,No Guidance (feat. Drake),"['dance pop', 'r&b']",19030837,79,260.64,2019-06-28,0.696,0.454,0.153,0.123,0.0,0.155,0.136,92.928,pop
Chris Brown,Nostálgico,"['dance pop', 'r&b']",19030837,78,209.883,2021-09-08,0.734,0.846,0.0489,0.166,1.74e-06,0.235,0.604,98.026,pop
Chris Brown,Forever,"['dance pop', 'r&b']",19030837,78,278.573,2008-04-29,0.672,0.82,0.0459,0.0368,0.000188,0.184,0.438,120.005,pop
Chris Brown,Go Crazy,"['dance pop', 'r&b']",19030837,77,176.96,2020-05-08,0.755,0.578,0.145,0.316,0.0,0.25,0.581,94.148,pop
Chris Brown,Monalisa,"['dance pop', 'r&b']",19030837,76,212.975,2022-05-19,0.828,0.726,0.0419,0.106,0.00101,0.103,0.67,113.017,pop
Chris Brown,With You,"['dance pop', 'r&b']",19030837,75,252.12,2007-11-06,0.662,0.693,0.0698,0.134,0.0,0.145,0.655,86.009,pop
Chris Brown,How Does It Feel,"['dance pop', 'r&b']",19030837,49,166.623,2023-03-31,0.558,0.736,0.0678,0.205,0.0,0.15,0.376,82.984,pop
Chris Brown,Five More Hours,"['dance pop', 'r&b']",19030837,70,211.975,2017-03-31,0.699,0.883,0.219,0.0288,0.0,0.817,0.499,127.961,pop
Bruno Mars,When I Was Your Man,"['dance pop', 'pop']",47283077,88,213.826,2012-12-07,0.612,0.28,0.0434,0.932,0.0,0.088,0.387,72.795,pop
Bruno Mars,Locked out of Heaven,"['dance pop', 'pop']",47283077,86,233.478,2012-12-07,0.726,0.698,0.0431,0.049,0.0,0.309,0.867,143.994,pop
Bruno Mars,Just the Way You Are,"['dance pop', 'pop']",47283077,82,220.734,2010-10-05,0.635,0.841,0.0422,0.0134,0.0,0.0622,0.424,109.021,pop
Bruno Mars,Talking to the Moon,"['dance pop', 'pop']",47283077,81,217.866,2010-10-05,0.498,0.59,0.032,0.511,0.0,0.107,0.0784,145.867,pop
Bruno Mars,That's What I Like,"['dance pop', 'pop']",47283077,84,206.693,2016-11-17,0.853,0.56,0.0406,0.013,0.0,0.0944,0.86,134.066,pop
Bruno Mars,Leave The Door Open,"['dance pop', 'pop']",47283077,82,242.096,2021-11-11,0.586,0.616,0.0324,0.182,0.0,0.0927,0.719,148.088,pop
Bruno Mars,Grenade,"['dance pop', 'pop']",47283077,77,222.091,2010-10-05,0.704,0.558,0.0542,0.148,0.0,0.107,0.245,110.444,pop
Bruno Mars,Marry You,"['dance pop', 'pop']",47283077,75,230.192,2010-10-05,0.621,0.82,0.0367,0.332,0.0,0.104,0.452,144.905,pop
Bruno Mars,The Lazy Song,"['dance pop', 'pop']",47283077,72,189.109,2010-10-05,0.794,0.711,0.0699,0.3,0.0,0.0955,0.955,174.915,pop
Bruno Mars,Treasure,"['dance pop', 'pop']",47283077,80,178.56,2012-12-07,0.874,0.692,0.0431,0.0412,7.24e-05,0.324,0.937,116.017,pop
Billie Eilish,lovely (with Khalid),"['art pop', 'electropop', 'pop']",78532735,88,200.185,2018-04-19,0.351,0.296,0.0333,0.934,0.0,0.095,0.12,115.284,pop
Billie Eilish,TV,"['art pop', 'electropop', 'pop']",78532735,86,281.38,2022-07-21,0.412,0.236,0.0379,0.83,0.00653,0.147,0.119,140.214,pop
