artist_name,track_name,genres,followers,popularity,duration,release_date,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_genre
Kendrick Lamar,HUMBLE.,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",23441872,84,177.0,2017-04-14,0.908,0.621,0.102,0.000282,5.39e-05,0.0958,0.421,150.011,hip hop
Kendrick Lamar,LOVE. FEAT. ZACARI.,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",23441872,83,213.4,2017-04-14,0.8,0.585,0.0924,0.264,0.0,0.153,0.779,126.058,hip hop
Kendrick Lamar,PRIDE.,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",23441872,82,275.253,2017-04-14,0.665,0.535,0.0572,0.0786,1.68e-05,0.154,0.37,138.842,hip hop
Kendrick Lamar,Pray For Me,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",23441872,80,211.42,2021-02-05,0.732,0.678,0.0886,0.0867,2.41e-05,0.112,0.196,100.626,hip hop
Kendrick Lamar,Alright,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",23441872,81,219.333,2015-03-16,0.796,0.766,0.238,0.0742,0.0,0.0827,0.558,110.034,hip hop
Kendrick Lamar,N95,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",23441872,81,195.95,2022-05-13,0.79,0.67,0.105,0.377,2.32e-06,0.119,0.408,139.956,hip hop
Kendrick Lamar,DNA.,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",23441872,80,185.946,2017-04-14,0.638,0.523,0.357,0.00454,0.0,0.0842,0.422,139.913,hip hop
J. Cole,No Role Modelz,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",19688415,89,292.799,2014-12-09,0.69,0.521,0.339,0.324,0.0,0.0534,0.494,100.028,hip hop
J. Cole,on the street (with J. Cole),"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",19688415,89,214.701,2023-03-03,0.681,0.821,0.131,0.532,0.00111,0.0921,0.813,94.074,hip hop
J. Cole,Wet Dreamz,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",19688415,84,239.266,2014-12-09,0.495,0.722,0.357,0.0697,0.0,0.113,0.539,175.627,hip hop
J. Cole,MIDDLE CHILD,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",19688415,82,213.593,2019-01-23,0.837,0.364,0.276,0.149,0.0,0.271,0.463,123.984,hip hop
J. Cole,Work Out,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",19688415,81,235.32,2011-09-27,0.831,0.427,0.106,0.0531,0.0,0.307,0.216,93.004,hip hop
J. Cole,She Knows (feat. Amber Coffman & Cults),"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",19688415,79,296.52,2013-06-18,0.766,0.74,0.0807,0.0193,0.0784,0.229,0.183,118.008,hip hop
J. Cole,m y . l i f e (with 21 Savage & Morray),"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",19688415,79,218.801,2021-05-14,0.597,0.587,0.137,0.0622,0.0,0.214,0.0753,140.021,hip hop
J. Cole,Power Trip (feat. Miguel),"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",19688415,77,241.16,2013-06-18,0.667,0.608,0.216,0.324,0.000198,0.426,0.475,99.992,hip hop
J. Cole,Love Yourz,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",19688415,77,211.496,2014-12-09,0.677,0.638,0.333,0.589,0.0,0.193,0.435,82.81,hip hop
J. Cole,p r i d e . i s . t h e . d e v i l (with Lil Baby),"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",19688415,76,218.21,2021-05-14,0.861,0.656,0.425,0.104,0.0,0.0986,0.331,88.967,hip hop
"Tyler, The Creator",See You Again (feat. Kali Uchis),"['hip hop', 'rap']",10881769,85,180.386,2017-07-21,0.558,0.559,0.0959,0.371,7.49e-06,0.109,0.62,78.558,hip hop
"Tyler, The Creator",DOGTOOTH,"['hip hop', 'rap']",10881769,73,161.041,2023-03-31,0.706,0.648,0.324,0.505,0.0,0.215,0.802,77.533,hip hop
"Tyler, The Creator",NEW MAGIC WAND,"['hip hop', 'rap']",10881769,82,195.32,2019-05-17,0.621,0.73,0.107,0.0967,0.000131,0.673,0.464,139.566,hip hop
"Tyler, The Creator",EARFQUAKE,"['hip hop', 'rap']",10881769,81,190.066,2019-05-17,0.554,0.498,0.0685,0.23,5.98e-06,0.795,0.413,79.635,hip hop
"Tyler, The Creator",BEST INTEREST,"['hip hop', 'rap']",10881769,81,127.921,2020-01-25,0.596,0.575,0.0514,0.0861,0.000153,0.334,0.34,98.265,hip hop
"Tyler, The Creator",ARE WE STILL FRIENDS?,"['hip hop', 'rap']",10881769,80,265.48,2019-05-17,0.216,0.497,0.0371,0.128,2.39e-06,0.111,0.313,187.308,hip hop
"Tyler, The Creator",She,"['hip hop', 'rap']",10881769,75,253.386,2011-05-09,0.35,0.621,0.233,0.256,3.44e-05,0.613,0.459,83.375,hip hop
"Tyler, The Creator",WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign),"['hip hop', 'rap']",10881769,76,121.572,2021-06-25,0.493,0.653,0.0466,0.269,0.0,0.511,0.852,142.347,hip hop
"Tyler, The Creator",SORRY NOT SORRY,"['hip hop', 'rap']",10881769,78,206.049,2023-03-31,0.481,0.797,0.201,0.404,0.0,0.368,0.495,96.237,hip hop
"Tyler, The Creator",SWEET / I THOUGHT YOU WANTED TO DANCE (feat. Brent Faiyaz & Fana Hues),"['hip hop', 'rap']",10881769,76,588.139,2021-06-25,0.468,0.652,0.0722,0.333,0.000318,0.55,0.39,140.223,hip hop
Eminem,Mockingbird,"['detroit hip hop', 'hip hop', 'rap']",68379095,91,250.76,2004-11-12,0.637,0.678,0.266,0.209,0.0,0.156,0.254,84.039,hip hop
Eminem,Without Me,"['detroit hip hop', 'hip hop', 'rap']",68379095,88,290.32,2002-05-26,0.908,0.669,0.0738,0.00286,0.0,0.237,0.662,112.238,hip hop
Eminem,The Real Slim Shady,"['detroit hip hop', 'hip hop', 'rap']",68379095,87,284.2,2000-05-23,0.949,0.661,0.0572,0.0302,0.0,0.0454,0.76,104.504,hip hop
Eminem,"Lose Yourself - From ""8 Mile"" Soundtrack","['detroit hip hop', 'hip hop', 'rap']",68379095,77,326.466,2005-12-06,0.692,0.744,0.257,0.00868,0.000423,0.359,0.0612,171.374,hip hop
